trial_id,status,duration_s,cfg_budget_frac,cfg_experiment,cfg_input_len,cfg_layer,cfg_num_heads,cfg_num_layers,cfg_prompt,metric_avg_entropy,metric_avg_top5_mass,metric_avg_top_prob,metric_budget_frac,metric_budget_tokens,metric_entropy_max,metric_entropy_mean,metric_entropy_min,metric_entropy_std,metric_focused_head_count,metric_h2o_quality,metric_h2o_vs_window,metric_layer,metric_max_top_prob,metric_memory_saved_pct,metric_min_top_prob,metric_most_diffuse_head_entropy,metric_most_focused_head_entropy,metric_nonfinite_token_steps,metric_num_tokens,metric_seq_len,metric_sink_mass_max,metric_sink_mass_mean,metric_sink_quality,metric_skip_rate_50,metric_skip_rate_80,metric_skip_rate_90,metric_skip_rate_95,metric_skip_rate_99,metric_sparsity_mean,metric_valid_tokens,metric_window_quality
real_model_analysis_phi_2_t0050,completed,0.0000,0.2,kv_cache_real,,15,,,code_simple,,,,0.2,9,,,,,,0.8605940730670508,36.82796985293112,15,,80.0,,,,,,47,,,0.4101275274686254,,,,,,,,0.02336794769040348
real_model_analysis_phi_2_t0051,completed,0.0000,0.2,kv_cache_real,,16,,,code_simple,,,,0.2,9,,,,,,0.8755048309065033,37.64089415506778,16,,80.0,,,,,,47,,,0.40581615364748497,,,,,,,,0.02325940577553017
real_model_analysis_phi_2_t0052,completed,0.0000,0.2,kv_cache_real,,17,,,code_simple,,,,0.2,9,,,,,,0.8818015654776785,36.13858149594006,17,,80.0,,,,,,47,,,0.40953047844140494,,,,,,,,0.02440055832232218
real_model_analysis_phi_2_t0053,completed,0.0000,0.2,kv_cache_real,,18,,,code_simple,,,,0.2,9,,,,,,0.8705492858119732,39.33787071477225,18,,80.0,,,,,,47,,,0.412625891441472,,,,,,,,0.022130056101004533
real_model_analysis_phi_2_t0054,completed,0.0000,0.2,kv_cache_real,,19,,,code_simple,,,,0.2,9,,,,,,0.8671177518087505,45.43109014289756,19,,80.0,,,,,,47,,,0.39901993886691134,,,,,,,,0.019086439464281946
real_model_analysis_phi_2_t0055,completed,0.0000,0.2,kv_cache_real,,20,,,code_simple,,,,0.2,9,,,,,,0.9013825757760219,48.63916910315877,20,,80.0,,,,,,47,,,0.40509370407200246,,,,,,,,0.018532030715086443
real_model_analysis_phi_2_t0056,completed,0.0001,0.2,kv_cache_real,,21,,,code_simple,,,,0.2,9,,,,,,0.8756325007562696,51.940150530920526,21,,80.0,,,,,,47,,,0.3917823378427594,,,,,,,,0.016858489854298674
real_model_analysis_phi_2_t0057,completed,0.0000,0.2,kv_cache_real,,22,,,code_simple,,,,0.2,9,,,,,,0.916760838131993,75.32489605172647,22,,80.0,,,,,,47,,,0.3856893675897797,,,,,,,,0.01217075477279707
real_model_analysis_phi_2_t0058,completed,0.0000,0.2,kv_cache_real,,23,,,code_simple,,,,0.2,9,,,,,,0.8901162200368632,53.22313404846758,23,,80.0,,,,,,47,,,0.3941170540816697,,,,,,,,0.016724235352737402
real_model_analysis_phi_2_t0059,completed,0.0000,0.2,kv_cache_real,,24,,,code_simple,,,,0.2,9,,,,,,0.9135757406339609,104.41065913189203,24,,80.0,,,,,,47,,,0.38314406778560445,,,,,,,,0.008749832136199119
real_model_analysis_phi_2_t0060,completed,0.0000,0.2,kv_cache_real,,25,,,code_simple,,,,0.2,9,,,,,,0.9323397514876619,94.25839247201228,25,,80.0,,,,,,47,,,0.37652487574545423,,,,,,,,0.009891318184367481
real_model_analysis_phi_2_t0061,completed,0.0000,0.2,kv_cache_real,,26,,,code_simple,,,,0.2,9,,,,,,0.9193928123642554,101.9586243520332,26,,80.0,,,,,,47,,,0.37923255181262205,,,,,,,,0.009017312838488894
real_model_analysis_phi_2_t0062,completed,0.0000,0.2,kv_cache_real,,27,,,code_simple,,,,0.2,9,,,,,,0.927348351009543,81.6588120807003,27,,80.0,,,,,,47,,,0.37696989511478834,,,,,,,,0.011356378171324363
real_model_analysis_phi_2_t0063,completed,0.0000,0.2,kv_cache_real,,28,,,code_simple,,,,0.2,9,,,,,,0.9167644411950331,59.71816604961846,28,,80.0,,,,,,47,,,0.3674972388300041,,,,,,,,0.015351516997915081
