trial_id,status,duration_s,cfg_bits,cfg_hidden_dim,cfg_layer_idx,cfg_layer_position,cfg_model,cfg_num_layers,metric_cosine_similarity,metric_kl_divergence,metric_mse,metric_outlier_pct,metric_sensitivity,metric_weight_range,metric_weight_std
quantization_sensitivity_t0049,completed,0.1650,2,768,8,0.6666666666666666,12L-768H,12,0.004200867842882872,0.033418651670217514,1.9915900230407715,0.0901858031284064,0.9957991321571171,7.560983657836914,0.04158050939440727
quantization_sensitivity_t0050,completed,0.1628,3,768,8,0.6666666666666666,12L-768H,12,0.0006146408850327134,0.03070131130516529,1.9987624883651733,0.0901858031284064,0.9993853591149673,7.560983657836914,0.04158050939440727
quantization_sensitivity_t0051,completed,0.1637,4,768,8,0.6666666666666666,12L-768H,12,0.02391660027205944,0.032028838992118835,1.952158808708191,0.0901858031284064,0.9760833997279406,7.560983657836914,0.04158050939440727
quantization_sensitivity_t0052,completed,0.1714,6,768,8,0.6666666666666666,12L-768H,12,0.4936077296733856,0.017222139984369278,1.0127805471420288,0.0901858031284064,0.5063922703266144,7.560983657836914,0.04158050939440727
quantization_sensitivity_t0053,completed,0.1610,8,768,8,0.6666666666666666,12L-768H,12,0.9512389302253723,0.0013703997246921062,0.09752240031957626,0.0901858031284064,0.048761069774627686,7.560983657836914,0.04158050939440727
quantization_sensitivity_t0054,completed,0.0983,16,768,8,0.6666666666666666,12L-768H,12,1.0000004768371582,-5.122274160385132e-09,0.0,0.0901858031284064,-4.76837158203125e-07,7.560983657836914,0.04158050939440727
quantization_sensitivity_t0055,completed,0.1569,2,768,9,0.75,12L-768H,12,0.7299519777297974,0.009574640542268753,0.5400944352149963,0.2710978267714381,0.27004802227020264,0.2939069867134094,0.028192898258566856
quantization_sensitivity_t0056,completed,0.1679,3,768,9,0.75,12L-768H,12,0.9293954372406006,0.002399592660367489,0.14120934903621674,0.2710978267714381,0.07060456275939941,0.2939069867134094,0.028192898258566856
quantization_sensitivity_t0057,completed,0.1679,4,768,9,0.75,12L-768H,12,0.9825760126113892,0.0006040055304765701,0.03484838455915451,0.2710978267714381,0.01742398738861084,0.2939069867134094,0.028192898258566856
quantization_sensitivity_t0058,completed,0.1585,6,768,9,0.75,12L-768H,12,0.9989242553710938,3.624102100729942e-05,0.002152328146621585,0.2710978267714381,0.00107574462890625,0.2939069867134094,0.028192898258566856
quantization_sensitivity_t0059,completed,0.1693,8,768,9,0.75,12L-768H,12,0.9999317526817322,2.7152709662914276e-06,0.00013738113921135664,0.2710978267714381,6.824731826782227e-05,0.2939069867134094,0.028192898258566856
quantization_sensitivity_t0060,completed,0.1026,16,768,9,0.75,12L-768H,12,1.0000004768371582,-5.122274160385132e-09,0.0,0.2710978267714381,-4.76837158203125e-07,0.2939069867134094,0.028192898258566856
quantization_sensitivity_t0061,completed,0.1571,2,768,10,0.8333333333333334,12L-768H,12,0.7417709231376648,0.008812470361590385,0.5164565443992615,0.2698262454941869,0.2582290768623352,0.3065868318080902,0.029081815853714943
