trial_id,status,duration_s,cfg_input_len,cfg_kv_policy,cfg_prompt,cfg_prune_fraction,cfg_quant_level,metric_combined_quality,metric_combined_speed_factor,metric_kv_memory_saved_pct,metric_kv_quality,metric_kv_speed_factor,metric_prune_quality,metric_prune_speed_factor,metric_quality_speed_score,metric_quant_cosine_sim,metric_quant_speed_factor,metric_quant_top_agree
optimization_stacking_t0028,completed,0.0030,61,window_50,code,0.0,fp16,0.1800107684732237,1.1764705882352942,50.0,0.18001177704979818,1.1764705882352942,1.0,1.0,0.21177737467438082,0.9999943971633911,1.0,1.0
optimization_stacking_t0029,completed,0.0035,61,window_50,code,0.0,int8_sim,0.18000280715600808,1.7647058823529411,50.0,0.18001177704979818,1.1764705882352942,1.0,1.0,0.31765201262824955,0.9999501705169678,1.5,1.0
optimization_stacking_t0030,completed,0.0040,61,window_50,code,0.0,int4_sim,0.1798008128731223,2.3529411764705883,50.0,0.18001177704979818,1.1764705882352942,1.0,1.0,0.4230607361720525,0.9988280534744263,2.0,1.0
optimization_stacking_t0031,completed,0.0233,61,window_50,code,0.25,fp16,0.13500808033345416,1.3445378151260503,50.0,0.18001177704979818,1.1764705882352942,0.7500000221016577,1.1428571428571428,0.18152346935590474,0.9999943971633911,1.0,1.0
optimization_stacking_t0032,completed,0.0233,61,window_50,code,0.25,int8_sim,0.1350022380998266,2.0168067226890756,50.0,0.18001177704979818,1.1764705882352942,0.7500000221016577,1.1428571428571428,0.2722734213778015,0.9999511241912842,1.5,1.0
optimization_stacking_t0033,completed,0.0228,61,window_50,code,0.25,int4_sim,0.13485056534581522,2.6890756302521006,50.0,0.18001177704979818,1.1764705882352942,0.7500000221016577,1.1428571428571428,0.36262336899715014,0.9988276958465576,2.0,1.0
optimization_stacking_t0034,completed,0.0229,61,window_50,code,0.5,fp16,0.09000539862634979,1.5686274509803921,50.0,0.18001177704979818,1.1764705882352942,0.5000000799382063,1.3333333333333333,0.14118493902172516,0.9999943971633911,1.0,1.0
optimization_stacking_t0035,completed,0.0214,61,window_50,code,0.5,int8_sim,0.09000147161480428,2.3529411764705883,50.0,0.18001177704979818,1.1764705882352942,0.5000000799382063,1.3333333333333333,0.21176816850542182,0.9999507665634155,1.5,1.0
optimization_stacking_t0036,completed,0.0209,61,window_50,code,0.5,int4_sim,0.08990001845177531,3.1372549019607843,50.0,0.18001177704979818,1.1764705882352942,0.5000000799382063,1.3333333333333333,0.28203927357419706,0.9988235831260681,2.0,1.0
optimization_stacking_t0037,completed,0.0023,41,full,reasoning,0.0,fp16,0.9999948740005493,1.0,0.0,1.0,1.0,1.0,1.0,0.9999948740005493,0.9999948740005493,1.0,1.0
optimization_stacking_t0038,completed,0.0021,41,full,reasoning,0.0,int8_sim,0.9999585151672363,1.5,0.0,1.0,1.0,1.0,1.0,1.4999377727508545,0.9999585151672363,1.5,1.0
optimization_stacking_t0039,completed,0.0018,41,full,reasoning,0.0,int4_sim,0.9990248680114746,2.0,0.0,1.0,1.0,1.0,1.0,1.9980497360229492,0.9990248680114746,2.0,1.0
optimization_stacking_t0040,completed,0.0179,41,full,reasoning,0.25,fp16,0.7499955160514367,1.1428571428571428,0.0,1.0,1.0,0.7499993605477469,1.1428571428571428,0.8571377326302133,0.9999948740005493,1.0,1.0
optimization_stacking_t0041,completed,0.0158,41,full,reasoning,0.25,int8_sim,0.7499684257634835,1.7142857142857142,0.0,1.0,1.0,0.7499993605477469,1.1428571428571428,1.285660158451686,0.9999587535858154,1.5,1.0
optimization_stacking_t0042,completed,0.0168,41,full,reasoning,0.25,int4_sim,0.7492658664145208,2.2857142857142856,0.0,1.0,1.0,0.7499993605477469,1.1428571428571428,1.7126076946617617,0.9990220069885254,2.0,1.0
optimization_stacking_t0043,completed,0.0158,41,full,reasoning,0.5,fp16,0.4999965216820597,1.3333333333333333,0.0,1.0,1.0,0.4999990846770931,1.3333333333333333,0.666662028909413,0.9999948740005493,1.0,1.0
optimization_stacking_t0044,completed,0.0176,41,full,reasoning,0.5,int8_sim,0.49997899794857553,2.0,0.0,1.0,1.0,0.4999990846770931,1.3333333333333333,0.9999579958971511,0.9999598264694214,1.5,1.0
optimization_stacking_t0045,completed,0.0139,41,full,reasoning,0.5,int4_sim,0.49951429118629925,2.6666666666666665,0.0,1.0,1.0,0.4999990846770931,1.3333333333333333,1.3320381098301313,0.9990304112434387,2.0,1.0
